Symbol,Nazwa,SUM z Stan
5188888884327,ścianka foliowa podwójna,90
5188888884334,Zestaw balonów butelka HB,19
5188888884341,Zestaw napis+balony HB,22
5188888884365,zestaw balonowy krówka,101
5188888884372,zestaw balonowy lewek,58
5188888884389,"balon księżyc 28""",68
5188888884419,Zestaw balonów Biedronka HB,48
5188888884426,Zestaw balonów Tort,58
5188888884457,Zestaw balonów Dinozaur,9
5188888884495,zestaw balonowy happy 00449,55
5188888884518,zestaw balonowy happy birth.,26
5188888884525,"balon cyfra 32""",232
5201184024409,obrus Toy story,1
5201184043165,talerzyki Toy Story 23cm,3
5201184043226,opakowanie zaproszeń toy story 6szt.,1
5201184081228,czapeczki Puchatek,4
5201184805022,Zaproszenia Winnie 6szt/op.,1
5201184808597,obrus Dora,1
5201184815106,serwetki myszka miki,2
5201184815168,czapeczki urodxinowe myszka miki 6 szt.,2
5201184815489,kubek Puchatek,2
5201184817971,zaproszenia hello  6szt.,2
5201184820032,Kubeczki Zosia,1
5201184828298,kubeczki Dinozaur,3
5201184832264,obrus,3
5201184842805,talerzyki 8szt,1
5201184842812,kubeczki Angry Birds,1
5201184843451,talerzyki papierowe baby myszka miki,4
5201184843475,serwetki baby myszka miki,6
5201184844403,serwetki,2
5201184846445,olaf,1
5201184856741,obrus jednorożec,2
5201184862223,baner star wars,1
5201184865125,talerzyki Masha,1
5201184865132,kubki Masha,4
5201184865149,serwetki Masha,4
5201184865156,Obrus Masha,1
5201184865903,kubeczki Zosia,6
5201184866795,Serwetki Princess,2
5201184867129,kubeczki Listonosz Pat,2
5201184867136,serwtki Listonosz Pat,2
5201184867143,obrus Listonosz Pat,2
5201184867204,talerzyki 8szt,1
5201184867570,serwetki Frozen,5
5201184867686,serwetki panda,1
5201184868690,serwetki piłka,3
5201184869321,Talerze reniferki,5
5201184870150,kubeczki Troll,7
5201184870167,serwetki Troll,5
5201184870211,Baner Troll,1
5201184872062,obrus Minionki,1
5201184875469,Serwetki bajkowe,33
5201184879177,serwetki Zosia,3
5201184879672,serwetki Avengers,3
5201184880487,serwetki Bob,2
5201184880494,obrus Bob,1
5201184885444,obrus psi Patrol,1
5201184886304,palerzyki bajkowe,1
5201184886366,baner,1
5201184888643,"Serwetki pap. ""18"" Ballons 20szt/op.",5
5201184888667,serwetki 30,7
5201184888674,serwertki 40,12
,"Serwetki pap. ""40"" Balloons 20szt/op.",9
5201184888681,"Serwetki pap. ""50"" Balloons 20szt/op.",2
5201184888698,Serwetki pap. Balloons-60,5
5201184888704,"Serwetki papierowe Baloons-70"" 20szt.",2
5201184894422,Czapeczki Psi Patrol 6szt,1
5201184894484,serwetki Spider,2
5201184897775,Serwetki Psi Patrol,1
5201184899786,czapeczki,2
5201184902783,obrus Psi patrol,5
5201184908167,talerzyki Auta 8szt,1
5201184908631,baner Lol,1
5201184908723,serwetki Toy Story,1
5201184909614,kubki auta,4
5201184910542,maski Lol,5
5201184911044,Baner Plastikowy Pepa 2.3m,6
5201184911297,obrus Frozen,3
5201184911358,Baner Kraina Lodu 2.3m,2
5201184913468,Serwetki Miraculous,5
5201184920886,"serwetki papierowe ""Ballons - 20"" 33x33 20szt.",7
5201184922187,kubeczki papierowe Troll,5
5201184922415,serwetki lego ninjago,2
5201184922484,Serwetki Lego,6
5201184930380,"Balon foliowy Pepa 18""",1
,balon Pepa,1
5201184932735,balon foliowy harry potter 18'',3
,balon Harry Potter,2
5201184934319,talerzyki 23cm,1
5201184934326,Talerzyki papier avengers,1
5201184934357,Talerzyki papierowe Psi Patrol,10
5201184934371,Talerzyki papierowe Cars,2
5201184934524,talerzyki Batman8szt,3
5201184934531,Talerzyki Papierowe Psi Patrol,3
5201184934562,Talerzyki papierowe Lego City,4
5201184934593,talerzyki Baby Shark,3
5201184934654,kubeczki kraina lodu,3
5201184934678,kubki Marwel,1
5201184934708,kubeczki papierowe,1
5201184934722,Kubki Papierowe Cars 200ml,10
