Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5900779109254,Toper na Tort sto Lat,Podstawowa,3,szt.,"5,42",,"16,26",,23
T,5900779109391,"Serwetki 80th Birthday,biały 33x33 1op./20szt",Podstawowa,3,szt.,"5,49",,"16,47",,23
T,5900779109483,FB24M-70-019 bal.fol. 70 złoty,Podstawowa,4,szt.,"1,1",,"4,4",,23
T,5900779109483,FB24M-70-019 bal.fol. 70 złoty,Podstawowa,3,szt.,"1,11",,"3,33",,23
T,5900779109513,"FB24M-80-019 bal.fol. 80 złoty 18""",Podstawowa,4,szt.,"1,38",,"5,52",,23
T,5900779109827,Balon 14P-437 Pastel Cyklamen Rose 100szt,Podstawowa,1,op.,"11,61",,"11,61",,23
T,5900779109834,balony 30cm pastel light green 100szt,Podstawowa,1,szt.,"11,61",,"11,61",,23
T,5900779109865,balony 30 cm pastel lilac breeze 100szt,Podstawowa,1,szt.,"11,61",,"11,61",,23
T,5900779109872,balony 30 cm pastel kiwi cream 100szt,Podstawowa,1,szt.,"11,61",,"11,61",,23
T,5900779109889,balony 30 cm pastel peach cream 100szt,Podstawowa,1,szt.,"11,61",,"11,61",,23
T,5900779109926,Balon CHB1-018-50 MetSrebrny 50szt,Podstawowa,4,op.,"22,64",,"90,56",,23
T,5900779109926,Balon CHB1-018-50 MetSrebrny 50szt,Podstawowa,1,op.,"24,14",,"24,14",,23
T,5900779109926,Balon CHB1-018-50 MetSrebrny 50szt,Podstawowa,1,op.,"29,7",,"29,7",,23
T,5900779109933,balon glossy gold CHB1-019-50,Podstawowa,4,szt.,"22,64",,"90,56",,23
T,5900779109933,balon glossy gold CHB1-019-50,Podstawowa,14,szt.,"24,14",,"337,96",,23
T,5900779109933,balon glossy gold CHB1-019-50,Podstawowa,1,szt.,"29,7",,"29,7",,23
T,5900779109971,balon glossy 30cm rozowe zloto CHB1-019R-50,Podstawowa,6,szt.,"24,14",,"144,84",,23
T,5900779110335,Balon SB12P-096 Pastel Pistachio 100szt,Podstawowa,1,op.,"14,24",,"14,24",,23
T,5900779110397,balony pastel light blue 100szt,Podstawowa,3,szt.,"18,82",,"56,46",,23
T,5900779110427,SB14P-004j balony 100szt,Podstawowa,1,szt.,"17,89",,"17,89",,23
T,5900779110489,balony 14'' pastel Fuchsia 100szt,Podstawowa,1,szt.,"17,89",,"17,89",,23
T,5900779110489,balony 14'' pastel Fuchsia 100szt,Podstawowa,1,szt.,22,,22,,23
